Management;Date;Measure;Depth
manag1;02.09.1992;ploughing;25
manag2;19.05.1993;ploughing;18
manag3;15.10.1993;cultivator drill;10
manag4;10.08.1994;cultivator;15
manag4;22.08.1994;rotary tiller;10
manag4;19.09.1994;cultivator;10
manag5;24.07.1995;cultivator;15
manag5;09.09.1995;cultivator;15
manag5;14.09.1995;cultivator;8
manag6;04.09.1996;ploughing;23
manag7;26.03.1997;rotary tiller;10
manag8;08.10.1997;cultivator drill ;10
manag8;17.08.1998;cultivator;8
manag9;02.09.1992;ploughing;25
manag10;19.05.1993;ploughing;18
manag11;15.10.1993;cultivator drill;10
manag11;10.08.1994;cultivator;15
manag12;22.08.1994;rotary tiller;10
manag12;19.09.1994;ploughing;22
manag13;24.07.1995;cultivator;15
manag13;09.09.1995;cultivator;15
manag13;14.09.1995;ploughing;25
manag14;04.09.1996;ploughing;23
manag14;05.09.1996;cultivator drill;10
manag14;26.03.1997;rotary tiller;10
manag15;08.10.1997;ploughing;22
manag15;17.08.1998;cultivator;8
manag16;02.09.1992;ploughing;25
manag17;19.05.1993;ploughing;18
manag18;15.10.1993;cultivator drill;10
manag19;10.08.1994;cultivator;15
manag19;22.08.1994;rotary tiller;10
manag19;19.09.1994;ploughing;22
manag20;24.07.1995;cultivator;15
manag20;09.09.1995;cultivator;15
manag20;14.09.1995;cultivator;8
manag21;04.09.1996;ploughing;23
manag21;05.09.1996;cultivator drill;10
manag22;26.03.1997;rotary tiller;10
manag23;08.10.1997;cultivator drill;10
manag23;17.08.1998;cultivator;8