Soil;Depth;Sand;Silt;Clay;Corg;pH;Bulk_density;Pore_volume;Field_capacity;nKF;Wilting_point;KA5TextureClass;Total_N;C_N;
soil1;30;0.83;0.08;0.09;0.66;6.1;1.45;;;;;Ap;0.0054;12.1
soil1;60;0.86;0.06;0.08;0.16;6.1;1.5;;;;;Ael;0.0015;11
soil1;90;0.72;0.14;0.14;0.08;6.3;1.55;;;;;Bt;0.0007;11.1
soil1;110;0.83;0.07;0.10;;;;;;;;C1;;
soil1;160;0.98;0.01;0.97;;;;;;;;C2;;
soil1;210;0.98;0.01;0.01;;;;;;;;C3;;
soil2;30;0.83;0.08;0.09;0.58;6.5;1.45;;;;;Ap;0.05;11.6
soil2;90;0.93;0.01;0.06;0.13;6.5;1.5;;;;;Ael;0.013;10
soil2;130;0.78;0.10;0.12;;;1.55;;;;;Bt1
soil2;170;0.80;0.09;0.11;;;;;;;;Bt2
soil2;180;0.97;0.01;0.02;;;;;;;;C1
soil2;225;0.98;0.01;0.01;;;;;;;;C2
soil3;30;0.83;0.08;0.09;0.62;6.3;1.45;;;;;Ap;0.054;11.4
soil3;100;0.93;0.01;0.06;0.13;6.3;1.5;;;;;Ael;0.013;10
soil3;110;0.65;0.17;0.18;;;1.55;;;;;Bt1
soil3;225;0.84;0.09;0.07;;;;;;;;Bt2